record_type,kernel,repeat,bytes,operations,iterations,seconds,status
anchor,floor_serial,1,17664.0,16384.0,,0.011715,PASS
anchor,floor_serial,2,17664.0,16384.0,,0.012046,PASS
anchor,floor_parallel,1,4194304.0,262144.0,,0.016754,PASS
anchor,floor_parallel,2,4194304.0,262144.0,,0.031739,PASS
anchor,entry_lo,1,18392.0,229800.0,,0.019734,PASS
anchor,entry_hi,1,18392.0,919200.0,,0.021689,PASS
anchor,dram_serial,1,4587520.0,67108864.0,,0.297094,PASS
anchor,dram_serial,2,4587520.0,67108864.0,,0.295061,PASS
anchor,llc_serial,1,2621440.0,134217728.0,,0.240305,PASS
anchor,llc_serial,2,2621440.0,134217728.0,,0.238915,PASS
anchor,l1_serial,1,12599296.0,134217728.0,,0.147591,PASS
anchor,l1_serial,2,12599296.0,134217728.0,,0.146172,PASS
anchor,contiguous_serial,1,12582912.0,1610874880.0,,0.887701,PASS
anchor,contiguous_serial,2,12582912.0,1610874880.0,,0.8865,PASS
anchor,dram,1,68681728.0,268435456.0,,0.181519,PASS
anchor,dram,2,68681728.0,268435456.0,,0.163126,PASS
anchor,llc,1,29360128.0,1073741824.0,,0.16223,PASS
anchor,llc,2,29360128.0,1073741824.0,,0.155374,PASS
anchor,l1,1,201588736.0,2147483648.0,,0.180164,PASS
anchor,l1,2,201588736.0,2147483648.0,,0.191939,PASS
anchor,contiguous,1,159383552.0,6443499520.0,,0.947058,PASS
anchor,contiguous,2,159383552.0,6443499520.0,,0.309258,PASS
anchor,bandwidth_small,1,100671488.0,25165824.0,,0.024103,PASS
anchor,bandwidth_small,2,100671488.0,25165824.0,,0.021392,PASS
anchor,bandwidth,1,402685952.0,100663296.0,,0.03495,PASS
anchor,bandwidth,2,402685952.0,100663296.0,,0.036996,PASS
